sex,date,sector,proportion
both,2001-01-01,agriculture,15.1
both,2002-01-01,agriculture,14.9
both,2003-01-01,agriculture,14.3
both,2004-01-01,agriculture,14.6
both,2005-01-01,agriculture,14.6
both,2006-01-01,agriculture,14.6
both,2007-01-01,agriculture,14.8
both,2008-01-01,agriculture,14.0
both,2009-01-01,agriculture,13.5
both,2010-01-01,agriculture,13.6
both,2011-01-01,agriculture,11.5
both,2012-01-01,agriculture,12.7
both,2013-01-01,agriculture,13.0
both,2014-01-01,agriculture,12.2
both,2015-01-01,agriculture,12.5
both,2016-01-01,agriculture,11.4
both,2017-01-01,agriculture,11.29108561170546
both,2018-01-01,agriculture,10.6
both,2019-01-01,agriculture,10.2
both,2020-01-01,agriculture,10.5
both,2021-01-01,agriculture,10.8
both,2022-01-01,agriculture,10.8
male,2001-01-01,agriculture,16.8
male,2002-01-01,agriculture,16.8
male,2003-01-01,agriculture,16.1
male,2004-01-01,agriculture,16.8
male,2005-01-01,agriculture,17.1
male,2006-01-01,agriculture,17.2
male,2007-01-01,agriculture,17.5
male,2008-01-01,agriculture,16.7
male,2009-01-01,agriculture,16.0
male,2010-01-01,agriculture,16.3
male,2011-01-01,agriculture,14.2
male,2012-01-01,agriculture,15.2
male,2013-01-01,agriculture,15.7
male,2014-01-01,agriculture,14.6
male,2015-01-01,agriculture,15.3
male,2016-01-01,agriculture,14.2
male,2017-01-01,agriculture,14.160095995773489
male,2018-01-01,agriculture,13.5
male,2019-01-01,agriculture,13.3
male,2020-01-01,agriculture,13.3
male,2021-01-01,agriculture,13.9
male,2022-01-01,agriculture,13.9
female,2001-01-01,agriculture,12.0
female,2002-01-01,agriculture,11.6
female,2003-01-01,agriculture,11.0
female,2004-01-01,agriculture,10.5
female,2005-01-01,agriculture,10.2
female,2006-01-01,agriculture,10.0
female,2007-01-01,agriculture,10.0
female,2008-01-01,agriculture,9.0
female,2009-01-01,agriculture,9.0
female,2010-01-01,agriculture,8.6
female,2011-01-01,agriculture,6.7
female,2012-01-01,agriculture,8.3
female,2013-01-01,agriculture,8.4
female,2014-01-01,agriculture,8.4
female,2015-01-01,agriculture,7.9
female,2016-01-01,agriculture,6.8
female,2017-01-01,agriculture,6.695415829024711
female,2018-01-01,agriculture,6.1
female,2019-01-01,agriculture,5.5
female,2020-01-01,agriculture,6.1
female,2021-01-01,agriculture,6.0
female,2022-01-01,agriculture,6.0
both,2001-01-01,industry,33.1
both,2002-01-01,industry,32.0
both,2003-01-01,industry,32.0
both,2004-01-01,industry,30.1
both,2005-01-01,industry,29.7
both,2006-01-01,industry,30.3
both,2007-01-01,industry,28.5
both,2008-01-01,industry,28.7
both,2009-01-01,industry,27.0
both,2010-01-01,industry,28.3
both,2011-01-01,industry,29.1
both,2012-01-01,industry,28.6
both,2013-01-01,industry,28.4
both,2014-01-01,industry,28.0
both,2015-01-01,industry,27.5
both,2016-01-01,industry,27.5
both,2017-01-01,industry,27.71740642394019
both,2018-01-01,industry,27.1
