lf,sex,date,p_rate,u_rate,ep_ratio,lf_outside,lf_employed,lf_unemployed
5431.4,both,1982-01-01,64.8,3.4,62.5,2944.6,5249.0,182.4
5671.8,both,1983-01-01,65.6,3.8,62.8,2969.4,5457.0,214.9
5862.5,both,1984-01-01,65.3,5.0,62.1,3119.6,5566.7,295.8
5990.1,both,1985-01-01,65.7,5.6,61.3,3124.9,5653.4,336.8
6222.1,both,1986-01-01,66.1,7.4,60.5,3188.3,5760.1,461.9
6456.8,both,1987-01-01,66.5,7.3,61.1,3246.1,5983.9,472.9
6637.0,both,1988-01-01,66.8,7.2,61.1,3301.5,6157.2,479.8
6779.4,both,1989-01-01,66.2,5.7,61.6,3463.5,6390.9,388.5
7000.2,both,1990-01-01,66.5,4.5,62.7,3519.7,6685.0,315.2
7319.0,both,1992-01-01,65.9,3.7,62.2,3783.6,7047.8,271.2
7700.1,both,1993-01-01,66.5,4.1,63.2,3874.9,7383.4,316.8
7893.1,both,1995-01-01,64.7,3.1,61.4,4297.7,7645.0,248.1
8616.0,both,1996-01-01,66.3,2.5,65.4,4379.0,8399.3,216.8
8784.0,both,1997-01-01,65.6,2.4,64.6,4605.1,8569.2,214.9
8883.6,both,1998-01-01,64.3,3.2,62.8,4934.0,8599.6,284.0
9151.5,both,1999-01-01,64.2,3.4,62.5,5098.4,8837.8,313.7
9556.139,both,2000-01-01,65.4,3.0,63.7,5065.063,9269.23,286.909
9699.406,both,2001-01-01,64.9,3.5,62.5,5239.911,9357.022,342.384
9886.164,both,2002-01-01,64.4,3.5,61.9,5473.756,9542.617,343.548
10239.577,both,2003-01-01,65.2,3.6,62.2,5458.587,9869.743,369.834
10346.2,both,2004-01-01,64.4,3.5,61.0,5730.5,9979.5,366.6
10413.4,both,2005-01-01,63.3,3.5,59.7,6048.2,10045.4,368.1
10628.9,both,2006-01-01,63.1,3.3,59.3,6205.1,10275.4,353.6
10889.5,both,2007-01-01,63.2,3.2,59.1,6330.1,10538.1,351.4
11028.1,both,2008-01-01,62.6,3.3,58.1,6575.7,10659.6,368.5
11315.3,both,2009-01-01,62.9,3.7,57.8,6665.7,10897.3,418.0
12303.9,both,2010-01-01,63.7,3.3,61.5,7023.0,11899.5,404.4
12740.7,both,2011-01-01,64.5,3.1,62.4,7023.3,12351.5,389.2
13221.7,both,2012-01-01,65.6,3.0,63.6,6927.4,12820.5,401.2
