age,tru,date,variable
overall,1.5,2017-01-01,rate
overall,1.4,2017-04-01,rate
overall,1.6,2017-07-01,rate
overall,1.6,2017-10-01,rate
overall,1.7,2018-01-01,rate
overall,1.6,2018-04-01,rate
overall,1.6,2018-07-01,rate
overall,1.4,2018-10-01,rate
overall,1.4,2019-01-01,rate
overall,1.4,2019-04-01,rate
overall,1.2,2019-07-01,rate
overall,1.1,2019-10-01,rate
overall,2.5,2020-01-01,rate
overall,2.8,2020-04-01,rate
overall,2.0,2020-07-01,rate
overall,2.4,2020-10-01,rate
overall,2.0,2021-01-01,rate
overall,2.2,2021-04-01,rate
overall,2.1,2021-07-01,rate
overall,1.9,2021-10-01,rate
overall,1.6,2022-01-01,rate
overall,1.4,2022-04-01,rate
overall,1.2,2022-07-01,rate
overall,1.1,2022-10-01,rate
overall,1.1,2023-01-01,rate
overall,1.2,2023-04-01,rate
overall,1.2,2023-07-01,rate
overall,1.1,2023-10-01,rate
overall,1.1,2024-01-01,rate
overall,1.0,2024-04-01,rate
overall,1.0,2024-07-01,rate
overall,0.9,2024-10-01,rate
15-24,1.6,2017-01-01,rate
15-24,1.5,2017-04-01,rate
15-24,2.0,2017-07-01,rate
15-24,1.9,2017-10-01,rate
15-24,1.6,2018-01-01,rate
15-24,1.7,2018-04-01,rate
15-24,1.8,2018-07-01,rate
15-24,1.2,2018-10-01,rate
15-24,1.8,2019-01-01,rate
15-24,1.3,2019-04-01,rate
15-24,1.1,2019-07-01,rate
15-24,1.1,2019-10-01,rate
15-24,2.7,2020-01-01,rate
15-24,3.3,2020-04-01,rate
15-24,4.8,2020-07-01,rate
15-24,5.8,2020-10-01,rate
15-24,2.0,2021-01-01,rate
15-24,3.8,2021-04-01,rate
15-24,1.8,2021-07-01,rate
15-24,3.4,2021-10-01,rate
15-24,0.9,2022-01-01,rate
15-24,2.6,2022-04-01,rate
15-24,0.7,2022-07-01,rate
15-24,1.2,2022-10-01,rate
15-24,1.2,2023-01-01,rate
15-24,1.6,2023-04-01,rate
15-24,1.3,2023-07-01,rate
15-24,1.0,2023-10-01,rate
15-24,0.9,2024-01-01,rate
15-24,1.4,2024-04-01,rate
15-24,1.1,2024-07-01,rate
15-24,1.3,2024-10-01,rate
25-34,1.0,2017-01-01,rate
25-34,0.9,2017-04-01,rate
25-34,1.2,2017-07-01,rate
25-34,1.4,2017-10-01,rate
25-34,1.5,2018-01-01,rate
25-34,1.3,2018-04-01,rate
25-34,1.1,2018-07-01,rate
25-34,0.9,2018-10-01,rate
25-34,1.2,2019-01-01,rate
25-34,1.1,2019-04-01,rate
25-34,0.9,2019-07-01,rate
25-34,0.8,2019-10-01,rate
25-34,2.2,2020-01-01,rate
25-34,2.0,2020-04-01,rate
25-34,1.9,2020-07-01,rate
25-34,2.3,2020-10-01,rate
25-34,3.1,2021-01-01,rate
25-34,1.6,2021-04-01,rate
25-34,2.7,2021-07-01,rate
25-34,1.5,2021-10-01,rate
25-34,1.4,2022-01-01,rate
25-34,1.1,2022-04-01,rate
25-34,1.3,2022-07-01,rate
25-34,1.2,2022-10-01,rate
25-34,1.2,2023-01-01,rate
25-34,1.1,2023-04-01,rate
25-34,1.4,2023-07-01,rate
25-34,1.5,2023-10-01,rate
25-34,1.2,2024-01-01,rate
25-34,0.8,2024-04-01,rate
25-34,0.9,2024-07-01,rate
25-34,0.7,2024-10-01,rate
35-44,1.4,2017-01-01,rate
35-44,1.4,2017-04-01,rate
35-44,1.4,2017-07-01,rate
35-44,1.3,2017-10-01,rate
35-44,1.5,2018-01-01,rate
35-44,1.2,2018-04-01,rate
35-44,1.4,2018-07-01,rate
35-44,1.2,2018-10-01,rate
35-44,1.0,2019-01-01,rate
35-44,1.3,2019-04-01,rate
35-44,1.4,2019-07-01,rate
35-44,1.1,2019-10-01,rate
35-44,2.2,2020-01-01,rate
35-44,2.9,2020-04-01,rate
35-44,1.3,2020-07-01,rate
35-44,1.4,2020-10-01,rate
35-44,1.7,2021-01-01,rate
35-44,1.2,2021-04-01,rate
35-44,2.2,2021-07-01,rate
35-44,1.7,2021-10-01,rate
35-44,1.6,2022-01-01,rate
35-44,0.9,2022-04-01,rate
35-44,1.2,2022-07-01,rate
35-44,0.8,2022-10-01,rate
35-44,0.6,2023-01-01,rate
35-44,0.8,2023-04-01,rate
35-44,0.8,2023-07-01,rate
35-44,0.7,2023-10-01,rate
35-44,0.9,2024-01-01,rate
35-44,1.1,2024-04-01,rate
35-44,0.5,2024-07-01,rate
35-44,0.5,2024-10-01,rate
45+,2.1,2017-01-01,rate
45+,1.8,2017-04-01,rate
45+,1.9,2017-07-01,rate
45+,2.1,2017-10-01,rate
45+,2.1,2018-01-01,rate
45+,2.2,2018-04-01,rate
45+,2.3,2018-07-01,rate
45+,2.2,2018-10-01,rate
45+,1.8,2019-01-01,rate
45+,1.9,2019-04-01,rate
45+,1.4,2019-07-01,rate
45+,1.5,2019-10-01,rate
45+,3.1,2020-01-01,rate
45+,3.4,2020-04-01,rate
45+,1.2,2020-07-01,rate
45+,1.7,2020-10-01,rate
45+,1.0,2021-01-01,rate
45+,2.9,2021-04-01,rate
45+,1.6,2021-07-01,rate
45+,1.7,2021-10-01,rate
45+,2.2,2022-01-01,rate
45+,1.3,2022-04-01,rate
45+,1.4,2022-07-01,rate
45+,1.1,2022-10-01,rate
45+,1.3,2023-01-01,rate
45+,1.3,2023-04-01,rate
45+,1.1,2023-07-01,rate
45+,1.1,2023-10-01,rate
45+,1.3,2024-01-01,rate
45+,1.0,2024-04-01,rate
45+,1.3,2024-07-01,rate
45+,1.3,2024-10-01,rate
overall,211.8,2017-01-01,persons
