lf,date,p_rate,u_rate,ep_ratio,lf_outside,lf_employed,lf_unemployed
12239.3,2010-01-01,63.5,3.6,61.2,7030.8,11801.2,438.1
12304.9,2010-04-01,63.6,3.3,61.5,7047.5,11900.6,404.3
12354.6,2010-07-01,63.6,3.2,61.6,7073.5,11961.3,393.3
12522.4,2010-10-01,64.2,3.1,62.2,6992.9,12137.4,385.0
12718.3,2011-01-01,64.5,3.0,62.5,7004.9,12333.5,384.8
12756.0,2011-04-01,64.4,3.0,62.4,7048.8,12367.4,388.6
12889.0,2011-07-01,64.9,3.1,62.9,6977.2,12493.0,396.0
12842.5,2011-10-01,64.4,3.1,62.4,7098.6,12447.9,394.7
13169.2,2012-01-01,65.6,3.1,63.6,6915.1,12765.2,404.0
13237.0,2012-04-01,65.6,3.0,63.6,6946.1,12837.1,400.0
13401.7,2012-07-01,66.0,3.0,64.1,6897.9,13005.4,396.3
13376.2,2012-10-01,65.4,3.0,63.5,7062.8,12971.2,405.0
13539.5,2013-01-01,65.6,3.1,63.6,7090.0,13118.0,421.5
13945.1,2013-04-01,67.2,3.0,65.1,6819.6,13524.1,421.0
14214.2,2013-07-01,68.2,3.1,66.1,6613.0,13776.0,438.3
14195.1,2013-10-01,67.8,3.2,65.7,6730.7,13739.5,455.6
14230.8,2014-01-01,67.6,3.1,65.6,6805.9,13791.4,439.4
14296.1,2014-04-01,67.8,2.9,65.9,6793.0,13888.5,407.6
14346.9,2014-07-01,67.8,2.7,66.0,6810.3,13960.6,386.3
14403.3,2014-10-01,67.7,2.8,65.8,6860.9,13998.7,404.6
14544.8,2015-01-01,68.1,3.1,66.0,6798.5,14091.0,453.9
14535.6,2015-04-01,67.8,3.1,65.7,6897.9,14087.8,447.8
14561.0,2015-07-01,67.8,3.2,65.6,6930.6,14093.7,467.3
14600.2,2015-10-01,67.7,3.2,65.6,6952.7,14127.9,472.3
14596.8,2016-01-01,67.6,3.4,65.2,7011.5,14095.8,501.0
14665.4,2016-04-01,67.6,3.4,65.3,7026.0,14161.5,503.9
14710.6,2016-07-01,67.6,3.5,65.3,7044.6,14202.0,508.5
14771.4,2016-10-01,67.6,3.5,65.3,7071.7,14260.6,510.8
14870.1,2017-01-01,67.7,3.5,65.4,7093.8,14355.9,514.2
14926.4,2017-04-01,67.7,3.4,65.4,7123.3,14414.8,511.6
15000.2,2017-07-01,67.9,3.4,65.6,7091.0,14484.0,516.2
15088.3,2017-10-01,68.0,3.4,65.8,7085.0,14580.5,507.8
15192.4,2018-01-01,68.2,3.3,65.9,7093.7,14683.6,508.9
15278.3,2018-04-01,68.4,3.3,66.1,7073.4,14767.2,511.1
15381.3,2018-07-01,68.5,3.4,66.2,7077.9,14856.8,524.4
15449.9,2018-10-01,68.6,3.3,66.3,7070.7,14933.4,516.5
15526.8,2019-01-01,68.7,3.3,66.4,7064.2,15010.2,516.6
15598.8,2019-04-01,68.8,3.3,66.5,7088.1,15078.2,520.6
15674.3,2019-07-01,68.9,3.3,66.6,7088.7,15162.1,512.1
15766.7,2019-10-01,69.1,3.2,66.8,7066.1,15254.5,512.2
15790.1,2020-01-01,68.8,3.5,66.4,7163.1,15243.5,546.6
15675.5,2020-04-01,68.1,5.1,64.6,7350.5,14883.7,791.8
15840.6,2020-07-01,68.4,4.7,65.2,7324.6,15095.6,745.0
15922.3,2020-10-01,68.5,4.8,65.2,7318.4,15161.6,760.7
16008.4,2021-01-01,68.6,4.8,65.3,7316.0,15236.5,771.8
15972.2,2021-04-01,68.3,4.8,65.0,7424.9,15207.3,764.9
16021.0,2021-07-01,68.3,4.7,65.1,7430.1,15274.8,746.2
16135.0,2021-10-01,68.7,4.3,65.7,7361.5,15440.7,694.4
16246.1,2022-01-01,69.0,4.1,66.2,7289.9,15574.9,671.2
16343.3,2022-04-01,69.2,3.9,66.5,7258.5,15701.2,642.0
16442.9,2022-07-01,69.4,3.7,66.8,7250.6,15831.1,611.8
16542.2,2022-10-01,69.5,3.6,67.0,7246.1,15941.7,600.5
16648.9,2023-01-01,69.8,3.5,67.3,7215.7,16062.0,586.9
16727.4,2023-04-01,70.0,3.5,67.5,7180.2,16146.1,581.4
16824.0,2023-07-01,70.1,3.4,67.7,7182.3,16250.9,573.1
16911.7,2023-10-01,70.1,3.3,67.8,7197.6,16346.7,565.0
16962.3,2024-01-01,70.2,3.3,67.9,7194.0,16401.2,561.1
17148.9,2024-04-01,70.5,3.3,68.2,7188.8,16591.2,557.8
17263.3,2024-07-01,70.5,3.2,68.3,7224.4,16715.4,547.9
17339.8,2024-10-01,70.6,3.2,68.4,7208.5,16792.9,546.9
