lf,sex,date,state,p_rate,u_rate,ep_ratio,lf_outside,lf_employed,lf_unemployed
653.1,both,1982-01-01,Johor,65.4,3.5,63.4,345.1,630.2,22.9
650.9,both,1983-01-01,Johor,65.4,4.2,60.5,344.1,623.7,27.2
688.2,both,1984-01-01,Johor,64.9,4.5,61.7,372.1,657.3,30.9
710.4,both,1985-01-01,Johor,66.7,5.3,61.2,354.7,672.7,37.6
751.2,both,1986-01-01,Johor,67.1,6.8,61.7,367.8,700.4,50.8
781.8,both,1987-01-01,Johor,67.3,6.3,62.6,380.1,732.7,49.1
837.0,both,1988-01-01,Johor,67.9,5.4,65.7,396.5,792.0,45.1
861.8,both,1989-01-01,Johor,66.2,4.6,66.3,439.4,822.3,39.5
949.1,both,1990-01-01,Johor,67.9,3.7,71.6,449.6,914.1,35.1
947.1,both,1992-01-01,Johor,67.6,2.2,68.5,454.0,926.0,21.1
1003.0,both,1993-01-01,Johor,70.2,2.9,69.7,425.6,974.3,28.7
915.4,both,1995-01-01,Johor,64.8,2.6,59.6,496.3,891.8,23.6
1018.4,both,1996-01-01,Johor,66.7,2.1,64.4,508.3,996.7,21.7
1076.9,both,1997-01-01,Johor,67.6,1.7,66.2,516.3,1058.4,18.6
1044.3,both,1998-01-01,Johor,64.9,1.7,62.2,565.9,1027.0,17.3
1060.4,both,1999-01-01,Johor,63.5,3.0,60.2,608.8,1029.0,31.4
1222.4,both,2000-01-01,Johor,66.9,2.2,68.0,604.1,1195.4,27.0
1279.0,both,2001-01-01,Johor,65.7,3.4,68.4,666.3,1235.9,43.1
1259.0,both,2002-01-01,Johor,66.7,2.9,65.9,628.5,1222.3,36.7
1315.3,both,2003-01-01,Johor,67.6,3.5,66.5,631.2,1269.1,46.2
1278.8,both,2004-01-01,Johor,66.3,3.6,62.9,650.3,1232.6,46.2
1280.0,both,2005-01-01,Johor,64.9,3.3,61.4,693.8,1237.1,42.9
1285.8,both,2006-01-01,Johor,63.9,2.1,60.9,726.7,1258.1,27.6
1313.6,both,2007-01-01,Johor,63.8,2.0,60.7,745.7,1286.7,26.9
1313.1,both,2008-01-01,Johor,62.4,2.2,59.1,790.3,1283.8,29.3
1350.0,both,2009-01-01,Johor,63.0,3.2,58.8,791.8,1306.3,43.7
1453.5,both,2010-01-01,Johor,64.0,2.4,62.4,819.0,1418.8,34.7
1499.9,both,2011-01-01,Johor,64.8,2.5,63.1,816.3,1461.9,38.0
1529.4,both,2012-01-01,Johor,65.0,3.1,63.0,821.9,1481.5,47.9
1598.9,both,2013-01-01,Johor,67.5,2.8,65.5,771.3,1553.4,45.4
1621.1,both,2014-01-01,Johor,67.5,2.6,64.5,778.8,1579.7,41.4
1633.2,both,2015-01-01,Johor,67.1,3.1,63.5,799.9,1582.6,50.6
1639.1,both,2016-01-01,Johor,66.6,3.6,62.5,820.7,1580.6,58.5
1673.8,both,2017-01-01,Johor,67.0,3.4,63.0,824.4,1616.7,57.1
1745.1,both,2018-01-01,Johor,68.9,3.0,65.0,788.2,1693.3,51.9
1805.7,both,2019-01-01,Johor,70.3,2.7,67.3,761.6,1756.1,49.6
1990.9,both,2020-01-01,Johor,70.7,3.5,68.4,826.9,1920.5,70.3
1986.7,both,2021-01-01,Johor,70.5,3.7,68.0,832.1,1913.2,73.5
2013.4,both,2022-01-01,Johor,71.1,3.2,68.9,818.2,1949.2,64.2
2071.3,both,2023-01-01,Johor,71.3,2.6,69.5,833.6,2017.9,53.4
232.5,female,1982-01-01,Johor,45.7,4.7,44.7,275.9,221.6,10.9
233.3,female,1983-01-01,Johor,46.5,5.1,43.3,268.3,221.5,11.8
236.6,female,1984-01-01,Johor,44.3,5.6,42.4,297.6,223.4,13.2
243.9,female,1985-01-01,Johor,46.2,6.5,42.1,283.8,228.0,15.9
263.6,female,1986-01-01,Johor,47.2,8.3,43.3,295.2,241.6,22.0
275.5,female,1987-01-01,Johor,47.6,7.6,44.4,302.7,254.6,20.9
288.2,female,1988-01-01,Johor,47.6,6.2,45.9,317.5,270.2,18.0
294.1,female,1989-01-01,Johor,45.5,5.0,46.2,352.5,279.5,14.6
339.1,female,1990-01-01,Johor,48.4,4.2,52.3,362.0,324.7,14.4
329.3,female,1992-01-01,Johor,48.1,2.4,49.0,356.0,321.4,7.9
360.0,female,1993-01-01,Johor,51.4,3.1,51.5,340.3,348.6,11.3
305.8,female,1995-01-01,Johor,43.8,3.1,41.1,392.3,296.2,9.6
332.3,female,1996-01-01,Johor,45.4,1.9,43.9,399.5,326.2,6.2
351.9,female,1997-01-01,Johor,46.8,1.9,45.0,400.5,345.0,6.8
316.3,female,1998-01-01,Johor,42.1,2.0,39.2,435.8,310.0,6.2
332.1,female,1999-01-01,Johor,41.9,2.6,39.7,460.1,323.6,8.6
409.2,female,2000-01-01,Johor,46.7,1.8,47.9,467.5,401.9,7.4
435.4,female,2001-01-01,Johor,46.5,3.5,48.9,500.4,420.2,15.2
441.8,female,2002-01-01,Johor,48.3,3.1,48.6,472.0,428.3,13.5
460.2,female,2003-01-01,Johor,49.2,3.8,49.0,474.5,442.9,17.3
441.6,female,2004-01-01,Johor,47.6,4.0,45.8,485.5,424.2,17.5
436.2,female,2005-01-01,Johor,46.0,3.1,44.6,513.1,422.8,13.5
435.7,female,2006-01-01,Johor,44.9,2.3,43.8,534.0,425.7,10.0
450.1,female,2007-01-01,Johor,45.3,2.4,44.2,544.4,439.5,10.6
434.1,female,2008-01-01,Johor,42.7,2.2,41.8,582.2,424.4,9.7
467.0,female,2009-01-01,Johor,45.0,3.5,43.4,569.8,450.6,16.4
457.2,female,2010-01-01,Johor,43.2,2.2,42.2,601.3,447.1,10.2
486.4,female,2011-01-01,Johor,45.0,2.6,43.9,593.9,474.0,12.4
494.2,female,2012-01-01,Johor,45.1,3.0,43.7,601.0,479.2,15.0
562.1,female,2013-01-01,Johor,50.7,3.3,49.0,546.5,543.3,18.8
569.7,female,2014-01-01,Johor,50.7,2.6,48.8,554.7,554.8,14.9
581.5,female,2015-01-01,Johor,50.9,3.8,48.3,561.1,559.3,22.2
576.2,female,2016-01-01,Johor,49.9,3.8,47.1,578.4,554.2,22.0
583.8,female,2017-01-01,Johor,50.2,3.6,47.1,579.7,562.8,21.0
647.4,female,2018-01-01,Johor,54.4,3.3,51.5,543.4,625.8,21.7
682.3,female,2019-01-01,Johor,56.5,2.5,54.3,524.5,665.2,17.1
646.7003017924125,female,2020-01-01,Johor,50.4897274028336,4.036573096643718,48.6,634.1549039263614,620.5957713943462,26.10453039806625
645.6912675400359,female,2021-01-01,Johor,50.15516223916398,4.511654333563433,48.0,641.6961891310618,616.5599094866252,29.13135805341069
659.3847186074304,female,2022-01-01,Johor,50.75130265778529,4.007704485556774,48.8,639.8621658590519,632.9585276627245,26.4261909447059
670.7663931710074,female,2023-01-01,Johor,50.79163408837919,3.3272449429179543,49.1,649.8573772787695,648.448352275432,22.318040895575507
420.6,male,1982-01-01,Johor,85.9,2.9,82.0,69.3,408.6,12.0
417.6,male,1983-01-01,Johor,84.6,3.7,77.5,75.8,402.2,15.4
451.6,male,1984-01-01,Johor,85.8,3.9,80.6,74.6,433.9,17.7
466.4,male,1985-01-01,Johor,86.8,4.6,79.8,70.9,444.7,21.7
487.6,male,1986-01-01,Johor,87.0,5.9,79.5,72.6,458.8,28.8
506.4,male,1987-01-01,Johor,86.8,5.6,80.1,77.3,478.2,28.2
548.8,male,1988-01-01,Johor,87.4,4.9,84.7,79.0,521.7,27.1
567.6,male,1989-01-01,Johor,86.7,4.4,85.3,86.8,542.8,24.9
610.0,male,1990-01-01,Johor,87.4,3.4,89.9,87.6,589.4,20.7
617.8,male,1992-01-01,Johor,86.3,2.1,86.9,98.1,604.6,13.2
643.1,male,1993-01-01,Johor,88.3,2.7,86.7,85.3,625.7,17.4
609.6,male,1995-01-01,Johor,85.4,2.3,76.7,104.0,595.6,14.0
686.1,male,1996-01-01,Johor,86.3,2.3,83.4,108.9,670.5,15.6
725.1,male,1997-01-01,Johor,86.2,1.6,85.6,115.8,713.3,11.7
728.0,male,1998-01-01,Johor,84.8,1.5,83.2,130.1,717.0,11.0
728.3,male,1999-01-01,Johor,83.0,3.1,79.1,148.8,705.5,22.8
813.2,male,2000-01-01,Johor,85.6,2.4,86.3,136.6,793.6,19.6
843.6,male,2001-01-01,Johor,83.6,3.3,86.2,165.9,815.7,27.9
817.3,male,2002-01-01,Johor,83.9,2.9,81.4,156.5,794.0,23.3
855.1,male,2003-01-01,Johor,84.5,3.4,82.3,156.7,826.2,28.9
837.1,male,2004-01-01,Johor,83.5,3.4,78.1,164.8,808.4,28.7
843.7,male,2005-01-01,Johor,82.4,3.5,76.4,180.7,814.3,29.4
850.1,male,2006-01-01,Johor,81.5,2.1,76.0,192.8,832.4,17.7
863.5,male,2007-01-01,Johor,81.1,1.9,75.3,201.3,847.2,16.3
878.9,male,2008-01-01,Johor,80.9,2.2,74.4,208.1,859.4,19.6
883.0,male,2009-01-01,Johor,79.9,3.1,72.2,222.1,855.7,27.3
996.3,male,2010-01-01,Johor,82.1,2.5,80.1,217.6,971.7,24.6
1013.5,male,2011-01-01,Johor,82.0,2.5,79.9,222.5,987.9,25.5
1035.2,male,2012-01-01,Johor,82.4,3.2,79.8,220.9,1002.3,32.9
1036.7,male,2013-01-01,Johor,82.2,2.6,80.0,224.8,1010.1,26.7
1051.4,male,2014-01-01,Johor,82.4,2.5,78.1,224.1,1024.9,26.5
1051.6,male,2015-01-01,Johor,81.5,2.7,76.7,238.8,1023.3,28.3
1062.9,male,2016-01-01,Johor,81.4,3.4,75.9,242.3,1026.5,36.4
1090.0,male,2017-01-01,Johor,81.7,3.3,76.9,244.7,1053.9,36.1
1097.7,male,2018-01-01,Johor,81.8,2.8,76.9,244.9,1067.5,30.2
1123.4,male,2019-01-01,Johor,82.6,2.9,78.8,237.1,1091.0,32.5
1344.1550344252196,male,2020-01-01,Johor,87.45712944799648,3.290798007090627,85.0,192.7751654442802,1299.921607340146,44.23342708507346
1341.022056687986,male,2021-01-01,Johor,87.56694849675185,3.3098446263565764,84.9,190.40284701038715,1296.6363102064422,44.38574648154374
1354.0043983855342,male,2022-01-01,Johor,88.35981621371117,2.79214931010766,86.0,178.37135385763037,1316.198573917185,37.805824468349066
1400.5815036307786,male,2023-01-01,Johor,88.40240933210622,2.220816788339191,86.4,183.7435325445781,1369.4771544637729,31.104349167005804
403.9,both,1982-01-01,Kedah,60.9,3.7,58.3,259.2,389.0,15.0
388.2,both,1983-01-01,Kedah,63.1,3.8,54.4,226.6,373.6,14.7
442.6,both,1984-01-01,Kedah,61.6,5.6,59.8,276.3,417.6,25.0
445.4,both,1985-01-01,Kedah,61.7,7.1,58.1,276.0,413.8,31.5
455.0,both,1986-01-01,Kedah,60.6,8.1,57.5,296.2,418.0,37.1
456.5,both,1987-01-01,Kedah,61.1,8.0,56.8,291.3,420.1,36.4
496.1,both,1988-01-01,Kedah,62.6,7.4,61.1,295.8,459.3,36.9
470.0,both,1989-01-01,Kedah,61.9,5.7,58.0,288.7,443.3,26.8
489.3,both,1990-01-01,Kedah,61.9,4.4,59.9,301.0,467.6,21.6
514.0,both,1992-01-01,Kedah,62.7,3.7,60.8,305.6,495.0,19.0
492.8,both,1993-01-01,Kedah,62.6,3.6,56.9,294.9,475.1,17.8
531.7,both,1995-01-01,Kedah,61.3,2.0,59.5,335.3,521.1,10.6
549.8,both,1996-01-01,Kedah,60.3,2.5,59.8,361.6,535.9,13.8
616.6,both,1997-01-01,Kedah,62.0,2.5,65.4,378.6,601.3,15.3
587.1,both,1998-01-01,Kedah,61.2,3.4,60.3,372.0,567.3,19.8
701.4,both,1999-01-01,Kedah,62.4,3.2,70.4,422.4,678.7,22.7
645.2,both,2000-01-01,Kedah,62.2,2.9,63.4,391.3,626.5,18.7
727.4,both,2001-01-01,Kedah,61.2,3.6,69.0,460.2,701.1,26.4
666.5,both,2002-01-01,Kedah,61.0,3.2,61.8,425.8,645.1,21.4
680.1,both,2003-01-01,Kedah,62.5,3.3,61.4,408.1,657.7,22.4
680.3,both,2004-01-01,Kedah,62.1,3.8,59.7,415.3,654.5,25.8
677.8,both,2005-01-01,Kedah,60.3,3.7,58.1,445.6,652.8,25.1
682.4,both,2006-01-01,Kedah,59.4,3.8,57.1,467.2,656.8,25.6
693.1,both,2007-01-01,Kedah,59.0,3.3,57.0,481.6,670.4,22.7
703.0,both,2008-01-01,Kedah,58.6,3.8,56.1,497.5,676.0,27.0
732.6,both,2009-01-01,Kedah,59.6,4.2,56.9,496.0,701.5,31.1
746.9,both,2010-01-01,Kedah,59.5,2.8,57.7,508.9,725.7,21.2
770.0,both,2011-01-01,Kedah,60.1,3.5,57.9,512.0,743.4,26.6
810.3,both,2012-01-01,Kedah,61.7,2.9,59.9,502.0,786.9,23.4
862.8,both,2013-01-01,Kedah,63.8,2.4,62.2,489.9,842.3,20.5
884.1,both,2014-01-01,Kedah,64.2,2.7,62.4,493.5,859.8,24.3
905.3,both,2015-01-01,Kedah,64.6,2.6,62.6,496.5,881.6,23.7
910.9,both,2016-01-01,Kedah,64.2,2.9,61.9,508.4,884.3,26.6
932.7,both,2017-01-01,Kedah,64.7,2.8,62.6,508.2,906.3,26.5
936.7,both,2018-01-01,Kedah,63.5,2.9,62.2,538.9,909.2,27.5
950.0,both,2019-01-01,Kedah,63.3,2.8,63.0,551.3,923.6,26.3
904.5,both,2020-01-01,Kedah,63.5,4.2,60.9,520.6,867.0,37.5
916.0,both,2021-01-01,Kedah,63.7,3.9,61.3,521.9,880.1,35.9
928.0,both,2022-01-01,Kedah,64.2,3.0,62.3,518.4,900.4,27.6
955.1,both,2023-01-01,Kedah,65.3,2.9,63.5,508.5,927.5,27.6
137.1,female,1982-01-01,Kedah,40.5,6.5,37.4,201.2,128.1,8.9
145.1,female,1983-01-01,Kedah,44.6,6.4,38.6,180.5,135.8,9.3
152.5,female,1984-01-01,Kedah,41.5,8.1,39.2,214.6,140.0,12.4
161.6,female,1985-01-01,Kedah,43.3,10.5,39.7,211.6,144.6,17.0
153.8,female,1986-01-01,Kedah,39.5,11.0,36.9,235.8,136.8,16.9
154.0,female,1987-01-01,Kedah,40.4,10.4,36.6,227.1,138.0,16.0
178.4,female,1988-01-01,Kedah,43.1,9.6,42.0,235.8,161.3,17.1
159.2,female,1989-01-01,Kedah,41.5,7.0,37.9,224.1,148.0,11.2
162.8,female,1990-01-01,Kedah,40.7,6.0,38.5,237.3,153.1,9.7
180.6,female,1992-01-01,Kedah,43.0,4.2,41.4,239.1,173.1,7.6
160.6,female,1993-01-01,Kedah,39.8,4.7,35.8,243.0,153.0,7.5
179.4,female,1995-01-01,Kedah,40.7,2.1,39.2,261.4,175.7,3.7
