lf,date,state,p_rate,u_rate,district,ep_ratio,lf_outside,lf_employed,lf_unemployed
213.6,2019-01-01,Johor,70.3,1.7,Batu Pahat,69.03586706153341,90.4,209.8,3.7
219.1,2020-01-01,Johor,70.4,2.1,Batu Pahat,68.85035324341683,92.2,214.4,4.7
216.0,2021-01-01,Johor,69.0,2.3,Batu Pahat,67.3906100287448,97.1,211.0,5.0
220.8,2022-01-01,Johor,70.0,1.8,Batu Pahat,68.73811033608118,94.6,216.8,4.0
792.4,2019-01-01,Johor,73.0,3.1,Johor Bahru,70.69330632538441,293.7,767.8,24.6
803.8,2020-01-01,Johor,73.0,4.0,Johor Bahru,70.06085929693886,297.1,771.3,32.5
805.7,2021-01-01,Johor,73.0,4.2,Johor Bahru,69.87864517297591,298.3,771.6,34.1
829.5,2022-01-01,Johor,73.9,3.7,Johor Bahru,71.20577488637377,292.6,799.0,30.5
166.1,2019-01-01,Johor,71.3,3.4,Kluang,68.88412017167383,66.9,160.5,5.6
167.9,2020-01-01,Johor,71.4,4.2,Kluang,68.38079048023799,67.4,160.9,7.1
168.0,2021-01-01,Johor,71.3,4.6,Kluang,68.0390492359932,67.5,160.3,7.7
169.6,2022-01-01,Johor,72.1,4.0,Kluang,69.18827029324267,65.6,162.8,6.8
100.7,2019-01-01,Johor,69.7,2.7,Kota Tinggi,67.82006920415225,43.8,98.0,2.8
103.4,2020-01-01,Johor,69.8,3.4,Kota Tinggi,67.45442268737341,44.7,99.9,3.5
104.1,2021-01-01,Johor,70.0,4.0,Kota Tinggi,67.13709677419355,44.7,99.9,4.2
107.8,2022-01-01,Johor,71.1,3.5,Kota Tinggi,68.55636123928808,43.9,104.0,3.8
131.7,2019-01-01,Johor,66.4,2.7,Kulai,64.53400503778337,66.7,128.1,3.6
133.6,2020-01-01,Johor,66.7,3.4,Kulai,64.42115768463074,66.8,129.1,4.5
130.9,2021-01-01,Johor,65.2,3.7,Kulai,62.78026905829597,69.8,126.0,4.9
135.0,2022-01-01,Johor,66.0,3.3,Kulai,63.89432485322896,69.4,130.6,4.4
33.2,2019-01-01,Johor,60.4,2.4,Mersing,59.01639344262295,21.8,32.4,0.8
33.9,2020-01-01,Johor,60.8,3.3,Mersing,58.78136200716846,21.9,32.8,1.1
33.2,2021-01-01,Johor,59.2,3.6,Mersing,57.04099821746881,22.9,32.0,1.2
34.4,2022-01-01,Johor,60.0,3.0,Mersing,58.216783216783206,22.9,33.3,1.0
126.4,2019-01-01,Johor,67.5,1.7,Muar,66.43506146445752,60.7,124.3,2.1
129.9,2020-01-01,Johor,67.7,2.3,Muar,66.16266944734099,62.0,126.9,2.9
130.0,2021-01-01,Johor,67.5,2.6,Muar,65.7498702646601,62.6,126.7,3.4
131.7,2022-01-01,Johor,68.5,2.3,Muar,66.90946930280958,60.5,128.6,3.1
77.2,2019-01-01,Johor,66.2,3.1,Pontian,64.09597257926306,39.5,74.8,2.4
79.3,2020-01-01,Johor,66.4,4.0,Pontian,63.735343383584585,40.2,76.1,3.1
77.9,2021-01-01,Johor,65.0,4.7,Pontian,61.96830692243536,42.0,74.3,3.6
78.9,2022-01-01,Johor,65.8,3.6,Pontian,63.469557964970804,41.0,76.1,2.9
100.1,2019-01-01,Johor,70.4,2.6,Segamat,68.63572433192687,42.1,97.6,2.6
103.3,2020-01-01,Johor,70.5,3.6,Segamat,68.05460750853243,43.2,99.7,3.7
102.5,2021-01-01,Johor,69.6,4.0,Segamat,66.80244399185335,44.8,98.4,4.1
105.1,2022-01-01,Johor,70.3,3.6,Segamat,67.75919732441471,44.4,101.3,3.8
64.3,2019-01-01,Johor,64.1,2.1,Tangkak,62.71186440677966,36.0,62.9,1.4
66.3,2020-01-01,Johor,64.4,2.7,Tangkak,62.62135922330098,36.7,64.5,1.8
66.6,2021-01-01,Johor,64.3,3.1,Tangkak,62.31884057971014,37.0,64.5,2.1
68.7,2022-01-01,Johor,65.0,2.5,Tangkak,63.386944181646165,37.0,67.0,1.7
70.5,2019-01-01,Kedah,67.9,2.3,Baling,66.44165863066539,33.3,68.9,1.6
70.4,2020-01-01,Kedah,66.9,3.8,Baling,64.35361216730038,34.8,67.7,2.7
72.6,2021-01-01,Kedah,67.1,3.1,Baling,64.97227356746765,35.6,70.3,2.3
74.1,2022-01-01,Kedah,67.8,2.2,Baling,66.27056672760511,35.3,72.5,1.6
22.6,2019-01-01,Kedah,68.4,2.6,Bandar Baharu,66.66666666666666,10.4,22.0,0.6
23.7,2020-01-01,Kedah,69.7,4.6,Bandar Baharu,66.47058823529413,10.3,22.6,1.1
24.1,2021-01-01,Kedah,69.1,4.2,Bandar Baharu,66.18911174785102,10.8,23.1,1.0
24.7,2022-01-01,Kedah,70.0,3.1,Bandar Baharu,67.70538243626062,10.6,23.9,0.8
171.4,2019-01-01,Kedah,61.6,3.5,Kota Setar,59.39633489040603,106.9,165.3,6.1
173.5,2020-01-01,Kedah,61.6,5.1,Kota Setar,58.50799289520426,108.0,164.7,8.8
176.3,2021-01-01,Kedah,61.1,4.7,Kota Setar,58.19189470038102,112.3,168.0,8.3
179.8,2022-01-01,Kedah,61.7,3.8,Kota Setar,59.402882635552515,111.6,173.1,6.7
214.7,2019-01-01,Kedah,60.4,2.6,Kuala Muda,58.85167464114832,140.6,209.1,5.6
213.7,2020-01-01,Kedah,60.0,3.7,Kuala Muda,57.7927548441449,142.4,205.8,7.9
217.0,2021-01-01,Kedah,60.4,3.4,Kuala Muda,58.372805795486215,142.0,209.5,7.4
222.5,2022-01-01,Kedah,61.0,2.6,Kuala Muda,59.46242457487657,142.0,216.8,5.7
102.3,2019-01-01,Kedah,60.8,2.3,Kubang Pasu,59.39357907253271,65.8,99.9,2.4
105.3,2020-01-01,Kedah,61.8,3.9,Kubang Pasu,59.448356807511736,65.1,101.3,4.1
107.6,2021-01-01,Kedah,61.6,3.7,Kubang Pasu,59.35890097309674,67.1,103.7,3.9
110.6,2022-01-01,Kedah,62.5,2.8,Kubang Pasu,60.803167420814475,66.2,107.5,3.1
153.9,2019-01-01,Kedah,67.7,2.0,Kulim,66.37323943661973,73.3,150.8,3.1
148.7,2020-01-01,Kedah,65.3,3.5,Kulim,63.032967032967036,78.9,143.4,5.2
151.0,2021-01-01,Kedah,66.2,3.1,Kulim,64.11042944785277,77.3,146.3,4.7
154.3,2022-01-01,Kedah,66.8,2.2,Kulim,65.29640848117698,76.8,150.9,3.4
51.3,2019-01-01,Kedah,68.1,3.7,Langkawi,65.60424966799468,24.0,49.4,1.9
50.6,2020-01-01,Kedah,68.3,6.9,Langkawi,63.64864864864865,23.5,47.1,3.5
50.6,2021-01-01,Kedah,68.8,7.3,Langkawi,63.72282608695653,22.9,46.9,3.7
51.9,2022-01-01,Kedah,69.5,5.8,Langkawi,65.41554959785523,22.8,48.8,3.0
31.7,2019-01-01,Kedah,65.3,3.0,Padang Terap,63.298969072164944,16.8,30.7,1.0
32.7,2020-01-01,Kedah,65.7,4.0,Padang Terap,63.05220883534136,17.0,31.4,1.3
34.0,2021-01-01,Kedah,66.5,3.6,Padang Terap,64.18786692759295,17.1,32.8,1.2
34.6,2022-01-01,Kedah,67.2,3.1,Padang Terap,65.1750972762646,16.8,33.5,1.1
45.6,2019-01-01,Kedah,63.6,2.8,Pendang,61.78521617852161,26.1,44.3,1.3
47.4,2020-01-01,Kedah,64.4,4.7,Pendang,61.49659863945579,26.2,45.2,2.2
48.5,2021-01-01,Kedah,63.7,5.5,Pendang,60.31537450722734,27.6,45.9,2.6
