lf,date,p_rate,u_rate,ep_ratio,lf_outside,lf_employed,lf_unemployed
5431.4,1982-01-01,64.8,3.4,62.7,2944.6,5249.0,182.4
5671.8,1983-01-01,65.6,3.8,63.2,2969.4,5457.0,214.9
5862.5,1984-01-01,65.3,5.0,62.0,3119.6,5566.7,295.8
5990.1,1985-01-01,65.7,5.6,62.0,3124.9,5653.4,336.8
6222.1,1986-01-01,66.1,7.4,61.2,3188.3,5760.1,461.9
6456.8,1987-01-01,66.5,7.3,61.7,3246.1,5983.9,472.9
6637.0,1988-01-01,66.8,7.2,62.0,3301.5,6157.2,479.8
6779.4,1989-01-01,66.2,5.7,62.4,3463.5,6390.9,388.5
7000.2,1990-01-01,66.5,4.5,63.6,3519.7,6685.0,315.2
7319.0,1992-01-01,65.9,3.7,63.5,3783.6,7047.8,271.2
7700.1,1993-01-01,66.5,4.1,63.8,3874.9,7383.4,316.8
7893.1,1995-01-01,64.7,3.1,62.7,4297.7,7645.0,248.1
8616.0,1996-01-01,66.3,2.5,64.6,4379.0,8399.3,216.8
8784.0,1997-01-01,65.6,2.4,64.0,4605.1,8569.2,214.9
8883.6,1998-01-01,64.3,3.2,62.2,4934.0,8599.6,284.0
9151.5,1999-01-01,64.2,3.4,62.0,5098.4,8837.8,313.7
9556.1,2000-01-01,65.4,3.0,63.4,5065.1,9269.2,286.9
9699.4,2001-01-01,64.9,3.5,62.6,5239.9,9357.0,342.4
9886.2,2002-01-01,64.4,3.5,62.1,5473.8,9542.6,343.5
10239.6,2003-01-01,65.2,3.6,62.9,5458.6,9869.7,369.8
10346.2,2004-01-01,64.4,3.5,62.1,5730.5,9979.5,366.6
10413.4,2005-01-01,63.3,3.5,61.0,6048.2,10045.4,368.1
10628.9,2006-01-01,63.1,3.3,61.0,6205.1,10275.4,353.6
10889.5,2007-01-01,63.2,3.2,61.2,6330.1,10538.1,351.4
11028.1,2008-01-01,62.6,3.3,60.6,6575.7,10659.6,368.5
11315.3,2009-01-01,62.9,3.7,60.6,6665.7,10897.3,418.0
12303.9,2010-01-01,63.7,3.3,61.6,7023.0,11899.5,404.4
12740.7,2011-01-01,64.5,3.1,62.5,7023.3,12351.5,389.2
13221.7,2012-01-01,65.6,3.0,63.6,6927.4,12820.5,401.2
13980.5,2013-01-01,67.3,3.1,65.2,6781.2,13545.4,435.1
14263.6,2014-01-01,67.6,2.9,65.7,6821.0,13852.6,411.1
14518.0,2015-01-01,67.9,3.1,65.8,6869.9,14067.7,450.3
14667.8,2016-01-01,67.7,3.4,65.4,6987.6,14163.7,504.1
14980.1,2017-01-01,68.0,3.4,65.7,7065.0,14476.8,503.3
15280.3,2018-01-01,68.3,3.3,66.0,7094.4,14776.0,504.3
15581.6,2019-01-01,68.7,3.3,66.4,7103.5,15073.4,508.2
15406.0,2020-01-01,68.4,4.5,65.4,7105.2,14719.4,686.6
15532.8,2021-01-01,68.6,4.6,65.5,7102.3,14825.2,707.6
15769.7,2022-01-01,69.3,3.9,66.6,7000.7,15155.2,614.5
16366.8,2023-01-01,70.0,3.4,67.7,6997.8,15813.4,553.4
