lf,date,p_rate,u_rate,lf_employed,lf_unemployed
12368.0,2010-01-01,64.0,3.3,11959.8,408.2
12120.1,2010-02-01,62.9,3.3,11712.8,402.2
12242.4,2010-03-01,63.4,3.4,11817.2,416.7
12382.1,2010-04-01,63.8,3.0,12025.3,377.6
12197.5,2010-05-01,63.0,3.3,11790.7,405.7
12338.5,2010-06-01,63.6,3.4,11898.3,423.8
12419.9,2010-07-01,64.0,3.4,11996.4,422.5
12353.8,2010-08-01,63.4,3.2,11945.3,400.9
12330.7,2010-09-01,63.3,3.1,11957.7,386.3
12772.3,2010-10-01,65.4,2.9,12407.0,370.8
12392.6,2010-11-01,63.3,3.4,11966.9,418.2
12794.9,2010-12-01,65.4,3.2,12391.6,406.9
12782.4,2011-01-01,64.8,3.1,12383.1,399.6
12674.9,2011-02-01,64.3,2.8,12312.5,357.2
12778.0,2011-03-01,64.6,2.8,12409.9,363.4
12792.6,2011-04-01,64.5,3.0,12426.6,388.4
12757.1,2011-05-01,64.3,3.2,12352.4,403.0
12805.0,2011-06-01,64.5,3.1,12403.0,390.8
12858.3,2011-07-01,64.7,3.0,12466.3,389.1
12930.6,2011-08-01,64.9,3.2,12501.4,415.0
12906.1,2011-09-01,64.8,3.3,12496.0,424.3
13013.1,2011-10-01,65.1,3.1,12616.9,409.0
12829.7,2011-11-01,64.3,3.2,12410.9,412.6
13053.8,2011-12-01,64.9,3.1,12651.3,405.4
13164.0,2012-01-01,65.5,2.9,12781.1,383.3
13103.1,2012-02-01,65.3,3.0,12699.1,394.1
13221.1,2012-03-01,65.5,3.0,12822.6,397.2
13226.3,2012-04-01,65.6,3.0,12841.5,403.0
13293.7,2012-05-01,65.9,2.9,12903.8,389.0
13256.6,2012-06-01,65.5,3.1,12841.1,407.8
13413.8,2012-07-01,66.1,3.1,12988.9,422.4
13348.9,2012-08-01,65.6,2.7,12972.1,359.1
13416.1,2012-09-01,65.8,3.2,13002.8,425.0
13400.9,2012-10-01,65.7,3.3,12964.4,448.1
13520.3,2012-11-01,65.9,2.9,13119.3,398.4
13499.3,2012-12-01,65.5,3.1,13079.5,423.0
13550.1,2013-01-01,65.6,3.2,13113.1,432.8
13641.8,2013-02-01,65.9,2.9,13242.5,389.3
13625.3,2013-03-01,65.5,3.2,13188.7,439.5
13763.5,2013-04-01,66.3,3.1,13353.9,422.7
13867.0,2013-05-01,66.7,3.3,13414.9,451.7
14232.8,2013-06-01,68.2,2.8,13838.3,392.6
14119.5,2013-07-01,67.7,3.1,13683.2,434.0
14200.8,2013-08-01,68.0,3.2,13730.9,451.5
14295.2,2013-09-01,68.5,3.1,13852.9,450.0
14214.8,2013-10-01,67.9,3.4,13743.2,481.1
14279.3,2013-11-01,68.2,3.6,13773.3,510.8
14248.6,2013-12-01,67.8,3.1,13816.1,437.2
14243.3,2014-01-01,67.8,3.1,13795.5,444.1
14275.9,2014-02-01,67.9,3.1,13820.1,445.8
14160.8,2014-03-01,67.0,3.0,13738.1,427.2
14173.1,2014-04-01,67.4,3.0,13757.5,422.4
14470.8,2014-05-01,68.6,2.8,14060.1,411.3
14376.6,2014-06-01,67.8,2.8,13970.9,404.0
14289.4,2014-07-01,67.5,2.8,13888.2,399.6
14268.0,2014-08-01,67.3,2.7,13861.9,391.0
14415.2,2014-09-01,68.0,2.6,14036.1,381.9
14436.8,2014-10-01,67.7,2.7,14054.6,385.1
14436.2,2014-11-01,67.8,2.7,14046.6,393.9
14500.1,2014-12-01,68.0,3.1,14055.7,449.4
14458.4,2015-01-01,67.6,3.0,14023.9,431.1
14561.5,2015-02-01,68.1,3.1,14109.1,444.8
14574.3,2015-03-01,68.0,3.0,14143.1,436.8
14558.8,2015-04-01,67.9,3.0,14125.3,440.1
14605.0,2015-05-01,68.0,3.1,14151.8,453.1
14600.5,2015-06-01,67.9,3.2,14133.6,464.2
14563.4,2015-07-01,67.7,3.3,14088.5,473.4
14678.0,2015-08-01,68.1,3.2,14190.0,476.5
