date,unemployed,unemployed_active,unemployed_inactive,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long
2016-01-01,501.5,361.9,139.7,180.3,110.0,36.0,35.6
2016-02-01,506.4,254.0,252.4,115.8,83.7,34.9,19.6
2016-03-01,509.5,332.8,176.7,176.8,92.9,44.8,18.3
2016-04-01,511.5,328.0,183.4,170.6,93.3,43.9,20.2
2016-05-01,504.8,297.3,207.6,153.6,92.5,37.6,13.6
2016-06-01,501.8,298.2,203.5,146.8,83.6,51.7,16.2
2016-07-01,516.2,306.0,210.2,131.1,90.9,54.6,29.4
2016-08-01,515.2,305.6,209.6,149.0,81.4,44.7,30.5
2016-09-01,512.6,292.6,220.0,148.1,77.9,45.6,21.0
2016-10-01,511.7,299.7,212.0,143.1,74.7,48.4,33.5
2016-11-01,510.7,286.5,224.2,125.6,86.8,47.5,26.6
2016-12-01,512.2,374.4,137.9,192.2,93.2,59.4,29.6
2017-01-01,514.1,328.4,185.7,147.1,108.1,47.3,25.9
2017-02-01,514.8,338.1,176.7,151.8,118.6,46.7,21.0
2017-03-01,510.8,315.2,195.6,168.2,80.8,43.0,23.2
2017-04-01,511.9,359.5,152.4,151.9,107.5,66.2,33.9
2017-05-01,507.5,372.1,135.3,171.9,128.8,38.9,32.5
2017-06-01,507.7,319.1,188.5,151.1,89.8,49.2,29.0
2017-07-01,519.0,345.6,173.3,144.6,115.0,47.6,38.4
2017-08-01,516.9,351.5,165.4,160.7,115.7,45.0,30.1
2017-09-01,514.5,322.0,192.5,142.4,105.8,45.1,28.7
2017-10-01,508.8,356.1,152.8,182.1,110.6,35.7,27.7
2017-11-01,505.1,338.1,167.0,143.3,105.5,51.1,38.2
2017-12-01,505.8,327.5,178.3,127.6,109.1,46.6,44.2
2018-01-01,516.5,356.6,160.0,133.2,125.9,58.2,39.3
2018-02-01,508.5,349.8,158.7,155.3,106.6,41.4,46.4
2018-03-01,508.7,349.8,158.9,161.7,108.5,42.0,37.7
2018-04-01,510.0,373.6,136.4,167.7,140.9,44.7,20.2
2018-05-01,504.8,319.4,185.4,134.2,112.0,38.5,34.7
2018-06-01,515.8,324.5,191.2,136.2,108.5,52.4,27.4
2018-07-01,518.6,360.7,157.9,189.7,86.1,47.9,37.0
2018-08-01,525.0,308.7,216.3,149.1,84.4,46.1,29.0
2018-09-01,516.4,361.6,154.8,174.1,103.0,37.5,47.1
2018-10-01,512.9,331.1,181.8,165.2,85.5,49.2,31.3
