lf,date,state,p_rate,u_rate,lf_outside,lf_employed,lf_unemployed
1685.8,2017-01-01,Johor,67.4,3.0,816.9,1634.6,51.2
1675.2,2017-04-01,Johor,67.0,3.5,823.5,1616.0,59.2
1675.4,2017-07-01,Johor,66.9,4.0,830.7,1607.7,67.7
1684.4,2017-10-01,Johor,67.1,3.1,825.4,1632.6,51.8
1740.3,2018-01-01,Johor,68.9,2.8,784.8,1691.7,48.6
1756.2,2018-04-01,Johor,69.1,3.0,784.9,1703.5,52.7
1771.6,2018-07-01,Johor,69.8,3.3,767.4,1713.1,58.4
1788.1,2018-10-01,Johor,70.1,2.7,761.3,1739.0,49.1
1792.4,2019-01-01,Johor,70.1,2.8,763.4,1743.2,49.3
1920.9,2019-04-01,Johor,74.9,2.7,642.9,1869.1,51.8
1714.6,2019-07-01,Johor,66.6,2.8,858.3,1666.2,48.4
1783.5,2019-10-01,Johor,69.1,2.7,797.9,1736.0,47.5
1771.9,2020-01-01,Johor,68.3,3.2,823.3,1714.4,57.5
1754.1,2020-04-01,Johor,67.2,4.6,857.4,1673.0,81.2
1858.7,2020-07-01,Johor,70.1,3.6,793.9,1792.2,66.5
1824.4,2020-10-01,Johor,68.1,3.9,854.1,1752.4,72.0
1793.4,2021-01-01,Johor,67.9,3.9,846.6,1722.6,70.8
1766.4,2021-04-01,Johor,67.6,3.8,847.6,1698.6,67.8
1807.6,2021-07-01,Johor,68.7,4.0,824.0,1735.2,72.4
1839.5,2021-10-01,Johor,69.5,3.6,807.6,1774.2,65.3
1839.3,2022-01-01,Johor,68.8,3.2,834.1,1780.7,58.6
1848.4,2022-04-01,Johor,69.4,2.9,813.2,1795.0,53.4
1864.4,2022-07-01,Johor,69.7,2.5,810.7,1818.1,46.3
1856.0,2022-10-01,Johor,69.3,2.4,823.7,1812.2,43.7
1878.7,2023-01-01,Johor,69.8,2.6,812.8,1830.1,48.6
1884.6,2023-04-01,Johor,69.9,2.4,811.5,1838.7,46.0
1910.2,2023-07-01,Johor,70.6,2.5,795.5,1863.2,47.0
1936.4,2023-10-01,Johor,71.1,2.3,788.5,1891.8,44.6
1941.6,2024-01-01,Johor,71.3,2.4,781.5,1895.2,46.4
1948.1,2024-04-01,Johor,71.4,2.5,778.9,1899.1,49.0
1963.2,2024-07-01,Johor,71.4,2.3,785.0,1918.5,44.7
1972.8,2024-10-01,Johor,71.9,2.2,772.7,1930.0,42.8
934.4,2017-01-01,Kedah,65.0,2.5,503.5,910.8,23.6
950.2,2017-04-01,Kedah,65.8,3.0,493.9,921.4,28.8
923.3,2017-07-01,Kedah,63.8,2.7,523.0,898.7,24.6
948.6,2017-10-01,Kedah,65.4,3.1,502.7,919.2,29.4
944.1,2018-01-01,Kedah,64.1,3.0,528.0,915.8,28.2
939.6,2018-04-01,Kedah,63.8,2.5,534.0,916.1,23.5
922.4,2018-07-01,Kedah,62.3,3.1,558.9,893.3,29.0
958.4,2018-10-01,Kedah,64.5,3.0,528.5,930.1,28.4
956.9,2019-01-01,Kedah,64.1,3.0,536.1,928.5,28.3
963.2,2019-04-01,Kedah,64.0,2.8,542.6,936.2,27.0
942.3,2019-07-01,Kedah,62.4,3.2,567.6,911.9,30.4
943.0,2019-10-01,Kedah,62.4,3.1,568.4,914.1,28.9
982.2,2020-01-01,Kedah,64.5,3.7,540.5,946.2,36.0
978.2,2020-04-01,Kedah,64.0,4.1,550.4,937.9,40.3
961.7,2020-07-01,Kedah,62.6,4.4,575.0,919.5,42.2
956.9,2020-10-01,Kedah,62.1,4.0,584.3,918.7,38.2
975.5,2021-01-01,Kedah,63.2,3.6,569.1,940.3,35.2
997.8,2021-04-01,Kedah,64.2,3.9,555.4,959.0,38.8
1028.9,2021-07-01,Kedah,66.1,3.8,528.9,990.1,38.8
1014.2,2021-10-01,Kedah,64.9,3.8,548.5,975.3,38.9
1032.5,2022-01-01,Kedah,65.8,3.4,536.7,997.3,35.2
1034.1,2022-04-01,Kedah,65.7,3.3,539.7,999.8,34.3
1048.5,2022-07-01,Kedah,66.3,3.0,533.7,1017.3,31.2
1057.3,2022-10-01,Kedah,66.2,3.3,539.7,1022.5,34.8
1057.1,2023-01-01,Kedah,66.3,2.8,537.4,1027.3,29.8
1064.7,2023-04-01,Kedah,66.5,2.6,536.4,1036.7,28.0
1068.4,2023-07-01,Kedah,66.4,2.3,540.0,1043.8,24.6
1082.7,2023-10-01,Kedah,67.0,2.1,533.6,1060.2,22.5
1078.7,2024-01-01,Kedah,66.5,1.9,543.4,1058.4,20.2
1085.6,2024-04-01,Kedah,66.5,1.7,546.0,1066.9,18.7
1082.9,2024-07-01,Kedah,66.3,1.6,551.6,1065.7,17.2
1097.0,2024-10-01,Kedah,66.8,1.7,545.2,1078.2,18.8
693.7,2017-01-01,Kelantan,61.1,3.4,442.5,669.9,23.8
716.0,2017-04-01,Kelantan,62.5,3.0,430.3,694.5,21.5
689.0,2017-07-01,Kelantan,60.0,3.5,460.0,665.1,23.9
712.3,2017-10-01,Kelantan,61.6,4.2,444.1,682.3,30.0
724.2,2018-01-01,Kelantan,61.4,4.0,455.4,695.3,28.9
711.6,2018-04-01,Kelantan,60.6,4.8,462.0,677.3,34.3
706.3,2018-07-01,Kelantan,59.8,4.4,474.3,675.1,31.2
727.3,2018-10-01,Kelantan,61.1,4.7,463.6,693.2,34.1
717.1,2019-01-01,Kelantan,60.0,4.4,478.8,685.7,31.4
696.2,2019-04-01,Kelantan,57.7,4.9,510.7,661.9,34.3
716.9,2019-07-01,Kelantan,59.0,5.1,498.9,680.6,36.3
738.6,2019-10-01,Kelantan,60.2,5.1,488.0,701.2,37.4
