Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17962867204006,8.270723847952892,8.266327153326348,8.138290950772323,7.908445555469115,7.823907893285597,7.783654415425619,7.812733636007307,7.849877812039048,7.788316902755086,7.676955208993055,7.632330067548724,7.586882836913323,7.3956481838175385,7.218792627952583,7.158958345279888,7.102231153574788,7.076709788219176,7.155880661691168,7.403061306612236,7.427939936181568,7.1816080794800214,6.986732703094141,6.947010734013325,7.036356824924234,7.194665994600409,7.346330634421691,7.360513104433302,7.5844187990992795,8.191394911274141,8.577384992317613,7.985202251550969,7.806365421811965,7.772653774938157
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,8.011,7.888,7.822,7.817,7.867,7.863,7.89,7.903,7.935,7.953,7.93,7.88,7.899,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.158680278819749,4.251101731427295,4.369804889758913,4.393781310162946,4.399749465588073,4.340691213523574,4.313735454492283,4.324048501942294,4.5121576727069295,4.551119059845588,4.479977123284468,4.285853718993399,4.180110710956587,4.094738088841343,4.100699502843056,3.97409484853549,3.950642605708114,3.96854217730079,4.0003868821619974,3.9915945374515,3.9690273301075516,3.982162566210588,3.7038532010822607,3.881395713961064,4.164467078374683,4.157574373884524,4.274196203953023,4.32363095413829,4.395271210761934,4.852392700551304,4.736731762373329,3.6585731808215685,3.277245466051411,3.2183134210934394
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.855,16.978,17.399,17.4,16.987,16.275,16.172,16.371,16.593,16.682,16.7,16.488,16.498,16.378,16.36,16.206,16.153,16.228,16.431,16.618,16.77,16.562,16.492,16.406,16.49,16.575,16.61,16.594,16.497,16.69,15.799,14.602,14.537,14.464
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.304,30.007,25.251,20.835,14.607,13.928,16.872,20.042,20.835,19.023,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91450838242835,12.160385360089135,12.91827435336169,13.025171662029067,13.516862533383044,12.477177778625547,12.011082437015977,11.9646898565116,12.144805864591358,12.627487057708548,12.505882000080614,12.512529502018,12.456351093256169,11.433002029888298,11.240725057100393,10.523238071162648,10.15082224133708,9.880419777112156,9.466394601388187,9.577473952033841,10.693295935885217,11.07494195770896,11.04372810197735,11.037401720405443,11.148913572428075,10.85629020382621,11.113107547470356,10.659739634992878,10.216098023831071,11.325612541662279,10.88965878375747,9.953570646244202,9.581397143306233,9.461238356062957
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625,1.713,1.905,1.836,1.8,1.834,1.904,2.068,2.197,2.25,2.444,2.661,2.908,2.965,3.12,2.963,2.936,2.821,2.944,2.811,2.596,2.327,2.126,2.002,1.793,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151,2.133
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15.0,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,7.579,8.085,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.876
